"";"рейс";"расписание";"ожидаемое.время";"статус";"Авиакомпания";"Номер.рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"131";"S7 1156 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-22 16:10:00";NA;"ожидается";" S7 Airlines";"S7 1156";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"132";"SU 1157 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-22 16:20:00";NA;"ожидается";" Аэрофлот";"SU 1157";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"133";"SU 1155 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-22 18:25:00";NA;"ожидается";" Аэрофлот";"SU 1155";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"134";"U6 142 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-22 19:00:00";NA;"ожидается";" Уральские авиалинии";"U6 142";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"135";"DP 522 Ростов-на-Дону — Санкт-ПетербургBoeing 737-800";"2018-05-22 19:20:00";NA;"ожидается";" Победа";"DP 522";"Санкт-Петербург";"Boeing 737-800";"30.316229";"59.938732";22
"136";"A4 223 Ростов-на-Дону — СочиСухой Суперджет 100";"2018-05-22 19:35:00";NA;"ожидается";" Азимут";"A4 223";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";5
"137";"SU 6629 Ростов-на-Дону — Тель-АвивAirbus A319";"2018-05-22 19:50:00";NA;"ожидается";" Россия";"SU 6629";"Тель-Авив";"Airbus A319";"34.7805274";"32.0804808";2
"138";"SU 6106 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-22 20:00:00";NA;"ожидается";" Россия";"SU 6106";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"139";"SU 1161 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-22 20:05:00";NA;"ожидается";" Аэрофлот";"SU 1161";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"140";"UT 494 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-22 20:40:00";NA;"ожидается";" ЮТэйр";"UT 494";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"141";"S7 1152 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-22 20:50:00";NA;"ожидается";" S7 Airlines";"S7 1152";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"142";"DP 106 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-22 21:00:00";NA;"ожидается";" Победа";"DP 106";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"143";"SU 6272 Ростов-на-Дону — Санкт-ПетербургAirbus А320";"2018-05-22 21:30:00";NA;"ожидается";" Россия";"SU 6272";"Санкт-Петербург";"Airbus A320";"30.316229";"59.938732";22
"144";"SU 1167 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-23 02:55:00";NA;"ожидается";" Аэрофлот";"SU 1167";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"145";"U6 923 Ростов-на-Дону — ПрагаAirbus A319";"2018-05-23 03:40:00";NA;"ожидается";" Уральские авиалинии";"U6 923";"Прага";"Airbus A319";"14.4212535";"50.0874654";6
"146";"OK 915 Ростов-на-Дону — ПрагаAirbus A319";"2018-05-23 03:50:00";NA;"ожидается";" Czech Airlines";"OK 915";"Прага";"Airbus A319";"14.4212535";"50.0874654";6
"147";"TK 294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-23 04:10:00";NA;"ожидается";" Turkish Airlines";"TK 294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"148";"UT 4294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-23 04:10:00";NA;"ожидается";" ЮТэйр";"UT 4294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"149";"S7 1160 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-23 05:30:00";NA;"ожидается";" S7 Airlines";"S7 1160";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"150";"SU 1165 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-23 05:50:00";NA;"ожидается";" Аэрофлот";"SU 1165";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"151";"UT 498 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-23 06:35:00";NA;"ожидается";" ЮТэйр";"UT 498";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"152";"SU 6102 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-23 07:00:00";NA;"ожидается";" Россия";"SU 6102";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"153";"A4 201 Ростов-на-Дону — Москва (Внуково)Сухой Суперджет 100";"2018-05-23 07:30:00";NA;"ожидается";" Азимут";"A4 201";"Москва";"Сухой Суперджет 100";"37.6176606";"55.7507178";134
"154";"A4 211 Ростов-на-Дону — МахачкалаСухой Суперджет 100";"2018-05-23 09:15:00";NA;"ожидается";" Азимут";"A4 211";"Махачкала";"Сухой Суперджет 100";"47.49612";"42.97554";3
"155";"8Q 876 Ростов-на-Дону — АнтальяAirbus А321";"2018-05-23 09:20:00";NA;"ожидается";" Onur Air";"8Q 876";"Анталья";"Airbus А321";"30.6954846";"36.9009641";7
"156";"SU 1159 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-23 10:30:00";NA;"ожидается";" Аэрофлот";"SU 1159";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"157";"DP 853 Ростов-на-Дону — ТбилисиBoeing 737-800";"2018-05-23 11:35:00";NA;"ожидается";" Победа";"DP 853";"Тбилиси";"Boeing 737-800";"44.8015019";"41.6935247";7
"158";"SU 1163 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-23 12:00:00";NA;"ожидается";" Аэрофлот";"SU 1163";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"159";"SU 6833 Ростов-на-Дону — СимферопольAirbus A319";"2018-05-23 13:10:00";NA;"ожидается";" Россия";"SU 6833";"Симферополь";"Airbus A319";"34.1024858";"44.9521457";7
"160";"S7 3324 Ростов-на-Дону — НовосибирскAirbus А320";"2018-05-23 13:15:00";NA;"ожидается";" S7 Airlines";"S7 3324";"Новосибирск";"Airbus A320";"82.9234509";"55.0282171";3
"161";"UT 368 Ростов-на-Дону — Москва (Внуково)Boeing 737-400";"2018-05-23 13:45:00";NA;"ожидается";" ЮТэйр";"UT 368";"Москва";"Boeing 737-400";"37.6176606";"55.7507178";134
"162";"YC 866 Ростов-на-Дону — ТюменьCanadair regional jet";"2018-05-23 14:10:00";NA;"ожидается";" Ямал";"YC 866";"Тюмень";"Canadair regional jet";"65.542274";"57.153534";4
"163";"N4 188 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-23 15:20:00";NA;"ожидается";" Nordwind Airlines";"N4 188";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"164";"A4 215 Ростов-на-Дону — КазаньСухой Суперджет 100";"2018-05-23 16:00:00";NA;"ожидается";" Азимут";"A4 215";"Казань";"Сухой Суперджет 100";"49.1242266";"55.7823547";3
"165";"DP 104 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-23 16:05:00";NA;"ожидается";" Победа";"DP 104";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"166";"S7 1156 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-23 16:10:00";NA;"ожидается";" S7 Airlines";"S7 1156";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"167";"SU 1157 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-23 16:20:00";NA;"ожидается";" Аэрофлот";"SU 1157";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"168";"SU 6104 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-23 17:45:00";NA;"ожидается";" Россия";"SU 6104";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"169";"SU 1155 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-23 18:25:00";NA;"ожидается";" Аэрофлот";"SU 1155";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"170";"DP 522 Ростов-на-Дону — Санкт-ПетербургBoeing 737-800";"2018-05-23 19:20:00";NA;"ожидается";" Победа";"DP 522";"Санкт-Петербург";"Boeing 737-800";"30.316229";"59.938732";22
"171";"A4 223 Ростов-на-Дону — СочиСухой Суперджет 100";"2018-05-23 19:35:00";NA;"ожидается";" Азимут";"A4 223";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";5
"172";"SU 1161 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-23 20:05:00";NA;"ожидается";" Аэрофлот";"SU 1161";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"173";"UT 494 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-23 20:40:00";NA;"ожидается";" ЮТэйр";"UT 494";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"174";"S7 1152 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-23 20:50:00";NA;"ожидается";" S7 Airlines";"S7 1152";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"175";"DP 106 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-23 21:00:00";NA;"ожидается";" Победа";"DP 106";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"176";"SU 6272 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-23 21:40:00";NA;"ожидается";" Россия";"SU 6272";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
"177";"SU 1167 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-24 02:55:00";NA;"ожидается";" Аэрофлот";"SU 1167";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"178";"B2 936 Ростов-на-Дону — МинскEmbraer EMB 175";"2018-05-24 03:15:00";NA;"ожидается";" Белавиа";"B2 936";"Минск";"Embraer EMB 175";"93.3343983";"57.099061";4
"179";"TK 294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-24 04:10:00";NA;"ожидается";" Turkish Airlines";"TK 294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"180";"UT 4294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-24 04:10:00";NA;"ожидается";" ЮТэйр";"UT 4294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"181";"S7 1160 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-24 05:30:00";NA;"ожидается";" S7 Airlines";"S7 1160";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"182";"SU 1165 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-24 05:50:00";NA;"ожидается";" Аэрофлот";"SU 1165";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"183";"UT 498 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-24 06:35:00";NA;"ожидается";" ЮТэйр";"UT 498";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"184";"SU 6102 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-24 07:00:00";NA;"ожидается";" Россия";"SU 6102";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"185";"A4 203 Ростов-на-Дону — Санкт-ПетербургСухой Суперджет 100";"2018-05-24 08:00:00";NA;"ожидается";" Азимут";"A4 203";"Санкт-Петербург";"Сухой Суперджет 100";"30.316229";"59.938732";22
"186";"A4 217 Ростов-на-Дону — Нижний НовгородСухой Суперджет 100";"2018-05-24 08:20:00";NA;"ожидается";" Азимут";"A4 217";"Нижний Новгород";"Сухой Суперджет 100";"44.003506";"56.328571";3
"187";"SU 1159 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-24 10:30:00";NA;"ожидается";" Аэрофлот";"SU 1159";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"188";"SU 6270 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-24 10:50:00";NA;"ожидается";" Россия";"SU 6270";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
"189";"DP 853 Ростов-на-Дону — ТбилисиBoeing 737-800";"2018-05-24 11:35:00";NA;"ожидается";" Победа";"DP 853";"Тбилиси";"Boeing 737-800";"44.8015019";"41.6935247";7
"190";"YC 355 Челябинск — Минеральные ВодыCanadair regional jet";"2018-05-24 11:50:00";NA;"ожидается";" Ямал";"YC 355";"Минеральные Воды";"Canadair regional jet";"43.134969";"44.2107377";2
"191";"SU 1163 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-24 12:00:00";NA;"ожидается";" Аэрофлот";"SU 1163";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"192";"R3 9884 Ростов-на-Дону — АнтальяBoeing 737-800";"2018-05-24 12:10:00";NA;"ожидается";" Якутия";"R3 9884";"Анталья";"Boeing 737-800";"30.6954846";"36.9009641";7
"193";"U6 8021 Ростов-на-Дону — ГюмриAirbus А320";"2018-05-24 13:00:00";NA;"ожидается";" Уральские авиалинии";"U6 8021";"Гюмри";"Airbus A320";"43.8423102";"40.7852634";2
"194";"SU 6833 Ростов-на-Дону — СимферопольAirbus A319";"2018-05-24 13:10:00";NA;"ожидается";" Россия";"SU 6833";"Симферополь";"Airbus A319";"34.1024858";"44.9521457";7
"195";"UT 368 Ростов-на-Дону — Москва (Внуково)Boeing 737-400";"2018-05-24 13:45:00";NA;"ожидается";" ЮТэйр";"UT 368";"Москва";"Boeing 737-400";"37.6176606";"55.7507178";134
"196";"A4 207 Ростов-на-Дону — СамараСухой Суперджет 100";"2018-05-24 14:15:00";NA;"ожидается";" Азимут";"A4 207";"Самара";"Сухой Суперджет 100";"50.113987";"53.198627";2
"197";"N4 188 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-24 15:20:00";NA;"ожидается";" Nordwind Airlines";"N4 188";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"198";"YC 356 Минеральные Воды — ЧелябинскCanadair regional jet";"2018-05-24 15:45:00";NA;"ожидается";" Ямал";"YC 356";"Челябинск";"Canadair regional jet";"61.4025547";"55.1598408";2
"199";"DP 104 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-24 16:05:00";NA;"ожидается";" Победа";"DP 104";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"200";"S7 1156 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-24 16:10:00";NA;"ожидается";" S7 Airlines";"S7 1156";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"201";"SU 1157 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-24 16:20:00";NA;"ожидается";" Аэрофлот";"SU 1157";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"202";"SU 6104 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-24 17:45:00";NA;"ожидается";" Россия";"SU 6104";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"203";"Y7 918 Ростов-на-Дону — НорильскBoeing 737-800";"2018-05-24 18:40:00";NA;"ожидается";" Нордстар";"Y7 918";"Норильск";"Boeing 737-800";"88.200517";"69.3498394";2
"204";"SU 1155 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-24 18:40:00";NA;"ожидается";" Аэрофлот";"SU 1155";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"205";"DP 522 Ростов-на-Дону — Санкт-ПетербургBoeing 737-800";"2018-05-24 19:20:00";NA;"ожидается";" Победа";"DP 522";"Санкт-Петербург";"Boeing 737-800";"30.316229";"59.938732";22
"206";"A4 223 Ростов-на-Дону — СочиСухой Суперджет 100";"2018-05-24 19:35:00";NA;"ожидается";" Азимут";"A4 223";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";5
"207";"SU 1161 Ростов-на-Дону — Москва (Шереметьево)Сухой Суперджет 100";"2018-05-24 20:05:00";NA;"ожидается";" Аэрофлот";"SU 1161";"Москва";"Сухой Суперджет 100";"37.6176606";"55.7507178";134
"208";"UT 494 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-24 20:40:00";NA;"ожидается";" ЮТэйр";"UT 494";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"209";"S7 1152 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-24 20:50:00";NA;"ожидается";" S7 Airlines";"S7 1152";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"210";"DP 106 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-24 21:00:00";NA;"ожидается";" Победа";"DP 106";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"211";"SU 6272 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-24 21:40:00";NA;"ожидается";" Россия";"SU 6272";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
"212";"D2 78 Ростов-на-Дону — ЧереповецBombardier CRJ200";"2018-05-25 00:10:00";NA;"ожидается";" Северсталь";"D2 78";"Череповец";"Bombardier CRJ200";"37.916389";"59.128696";1
"213";"DP 562 Ростов-на-Дону — ЕкатеринбургBoeing 737-800";"2018-05-25 00:50:00";NA;"ожидается";" Победа";"DP 562";"Екатеринбург";"Boeing 737-800";"60.60825";"56.839104";3
"214";"A4 221 Ростов-на-Дону — УфаСухой Суперджет 100";"2018-05-25 01:10:00";NA;"ожидается";" Азимут";"A4 221";"Уфа";"Сухой Суперджет 100";"55.947727";"54.726288";2
"215";"FZ 936 Ростов-на-Дону — ДубайBoeing 737-800";"2018-05-25 02:30:00";NA;"ожидается";" Flydubai";"FZ 936";"Дубай";"Boeing 737-800";"55.2961962";"25.2683521";2
"216";"SU 1167 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-25 02:55:00";NA;"ожидается";" Аэрофлот";"SU 1167";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"217";"S7 1160 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-25 05:30:00";NA;"ожидается";" S7 Airlines";"S7 1160";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"218";"SU 1165 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-25 05:50:00";NA;"ожидается";" Аэрофлот";"SU 1165";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"219";"UT 498 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-25 06:35:00";NA;"ожидается";" ЮТэйр";"UT 498";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"220";"SU 6102 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-25 07:00:00";NA;"ожидается";" Россия";"SU 6102";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"221";"DP 108 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-25 07:10:00";NA;"ожидается";" Победа";"DP 108";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"222";"A4 201 Ростов-на-Дону — Москва (Внуково)Сухой Суперджет 100";"2018-05-25 07:30:00";NA;"ожидается";" Азимут";"A4 201";"Москва";"Сухой Суперджет 100";"37.6176606";"55.7507178";134
"223";"A4 211 Ростов-на-Дону — МахачкалаСухой Суперджет 100";"2018-05-25 09:15:00";NA;"ожидается";" Азимут";"A4 211";"Махачкала";"Сухой Суперджет 100";"47.49612";"42.97554";3
"224";"8Q 876 Ростов-на-Дону — АнтальяAirbus А321";"2018-05-25 09:20:00";NA;"ожидается";" Onur Air";"8Q 876";"Анталья";"Airbus А321";"30.6954846";"36.9009641";7
"225";"SU 1159 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-25 10:30:00";NA;"ожидается";" Аэрофлот";"SU 1159";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"226";"DP 853 Ростов-на-Дону — ТбилисиBoeing 737-800";"2018-05-25 11:35:00";NA;"ожидается";" Победа";"DP 853";"Тбилиси";"Boeing 737-800";"44.8015019";"41.6935247";7
"227";"SU 1163 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-25 12:00:00";NA;"ожидается";" Аэрофлот";"SU 1163";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"228";"8Q 896 Ростов-на-Дону — ГазипашаAirbus А320";"2018-05-25 12:50:00";NA;"ожидается";" Onur Air";"8Q 896";"Газипаша";"Airbus A320";"0";"0";1
"229";"U6 2631 Ростов-на-Дону — ЕреванAirbus A319";"2018-05-25 13:00:00";NA;"ожидается";" Уральские авиалинии";"U6 2631";"Ереван";"Airbus A319";"44.5125849";"40.1776121";3
"230";"SU 6833 Ростов-на-Дону — СимферопольAirbus A319";"2018-05-25 13:10:00";NA;"ожидается";" Россия";"SU 6833";"Симферополь";"Airbus A319";"34.1024858";"44.9521457";7
"231";"UT 368 Ростов-на-Дону — Москва (Внуково)Boeing 737-400";"2018-05-25 13:45:00";NA;"ожидается";" ЮТэйр";"UT 368";"Москва";"Boeing 737-400";"37.6176606";"55.7507178";134
"232";"YC 866 Ростов-на-Дону — ТюменьCanadair regional jet";"2018-05-25 14:10:00";NA;"ожидается";" Ямал";"YC 866";"Тюмень";"Canadair regional jet";"65.542274";"57.153534";4
"233";"N4 188 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-25 15:20:00";NA;"ожидается";" Nordwind Airlines";"N4 188";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"234";"A4 215 Ростов-на-Дону — КазаньСухой Суперджет 100";"2018-05-25 16:00:00";NA;"ожидается";" Азимут";"A4 215";"Казань";"Сухой Суперджет 100";"49.1242266";"55.7823547";3
"235";"DP 104 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-25 16:05:00";NA;"ожидается";" Победа";"DP 104";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"236";"S7 1156 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-25 16:10:00";NA;"ожидается";" S7 Airlines";"S7 1156";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"237";"SU 1157 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-25 16:20:00";NA;"ожидается";" Аэрофлот";"SU 1157";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"238";"SU 6104 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-25 17:45:00";NA;"ожидается";" Россия";"SU 6104";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"239";"SU 1155 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-25 18:25:00";NA;"ожидается";" Аэрофлот";"SU 1155";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"240";"U6 142 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-25 19:00:00";NA;"ожидается";" Уральские авиалинии";"U6 142";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"241";"DP 522 Ростов-на-Дону — Санкт-ПетербургBoeing 737-800";"2018-05-25 19:20:00";NA;"ожидается";" Победа";"DP 522";"Санкт-Петербург";"Boeing 737-800";"30.316229";"59.938732";22
"242";"SU 1161 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-25 20:05:00";NA;"ожидается";" Аэрофлот";"SU 1161";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"243";"UT 494 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-25 20:40:00";NA;"ожидается";" ЮТэйр";"UT 494";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"244";"S7 1152 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-25 20:50:00";NA;"ожидается";" S7 Airlines";"S7 1152";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"245";"DP 106 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-25 21:00:00";NA;"ожидается";" Победа";"DP 106";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"246";"SU 6272 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-25 21:40:00";NA;"ожидается";" Россия";"SU 6272";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
"247";"A4 219 Ростов-на-Дону — НовосибирскСухой Суперджет 100";"2018-05-25 22:35:00";NA;"ожидается";" Азимут";"A4 219";"Новосибирск";"Сухой Суперджет 100";"82.9234509";"55.0282171";3
