"";"рейс";"расписание";"ожидаемое.время";"статус";"Авиакомпания";"Номер.рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"30";"DP 106 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-19 21:00:00";NA;"ожидается";" Победа";"DP 106";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"31";"SU 6629 Ростов-на-Дону — Тель-АвивAirbus A319";"2018-05-19 21:20:00";NA;"ожидается";" Россия";"SU 6629";"Тель-Авив";"Airbus A319";"34.7805274";"32.0804808";2
"32";"SU 6272 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-19 21:30:00";NA;"ожидается";" Россия";"SU 6272";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
"33";"DP 562 Ростов-на-Дону — ЕкатеринбургBoeing 737-800";"2018-05-20 00:50:00";NA;"ожидается";" Победа";"DP 562";"Екатеринбург";"Boeing 737-800";"60.60825";"56.839104";3
"34";"SU 1167 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-20 02:55:00";NA;"ожидается";" Аэрофлот";"SU 1167";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"35";"TK 294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-20 04:10:00";NA;"ожидается";" Turkish Airlines";"TK 294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"36";"UT 4294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-20 04:10:00";NA;"ожидается";" ЮТэйр";"UT 4294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"37";"S7 1160 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-20 05:30:00";NA;"ожидается";" S7 Airlines";"S7 1160";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"38";"SU 1165 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-20 05:50:00";NA;"ожидается";" Аэрофлот";"SU 1165";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"39";"UT 498 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-20 06:35:00";NA;"ожидается";" ЮТэйр";"UT 498";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"40";"SU 6102 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-20 07:00:00";NA;"ожидается";" Россия";"SU 6102";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"41";"DP 108 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-20 07:10:00";NA;"ожидается";" Победа";"DP 108";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"42";"A4 201 Ростов-на-Дону — Москва (Внуково)Сухой Суперджет 100";"2018-05-20 07:30:00";NA;"ожидается";" Азимут";"A4 201";"Москва";"Сухой Суперджет 100";"37.6176606";"55.7507178";134
"43";"A4 203 Ростов-на-Дону — Санкт-ПетербургСухой Суперджет 100";"2018-05-20 08:00:00";NA;"ожидается";" Азимут";"A4 203";"Санкт-Петербург";"Сухой Суперджет 100";"30.316229";"59.938732";22
"44";"A4 217 Ростов-на-Дону — Нижний НовгородСухой Суперджет 100";"2018-05-20 08:20:00";NA;"ожидается";" Азимут";"A4 217";"Нижний Новгород";"Сухой Суперджет 100";"44.003506";"56.328571";3
"45";"8Q 876 Ростов-на-Дону — АнтальяAirbus А321";"2018-05-20 09:20:00";NA;"ожидается";" Onur Air";"8Q 876";"Анталья";"Airbus А321";"30.6954846";"36.9009641";7
"46";"SU 1159 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-20 10:30:00";NA;"ожидается";" Аэрофлот";"SU 1159";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"47";"DP 853 Ростов-на-Дону — ТбилисиBoeing 737-800";"2018-05-20 11:35:00";NA;"ожидается";" Победа";"DP 853";"Тбилиси";"Boeing 737-800";"44.8015019";"41.6935247";7
"48";"SU 1163 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-20 12:00:00";NA;"ожидается";" Аэрофлот";"SU 1163";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"49";"SU 6833 Ростов-на-Дону — СимферопольAirbus A319";"2018-05-20 13:10:00";NA;"ожидается";" Россия";"SU 6833";"Симферополь";"Airbus A319";"34.1024858";"44.9521457";7
"50";"UT 368 Ростов-на-Дону — Москва (Внуково)Boeing 737-400";"2018-05-20 13:45:00";NA;"ожидается";" ЮТэйр";"UT 368";"Москва";"Boeing 737-400";"37.6176606";"55.7507178";134
"51";"YC 866 Ростов-на-Дону — ТюменьCanadair regional jet";"2018-05-20 14:10:00";NA;"ожидается";" Ямал";"YC 866";"Тюмень";"Canadair regional jet";"65.542274";"57.153534";4
"52";"U6 8021 Ростов-на-Дону — ГюмриAirbus А320";"2018-05-20 14:15:00";NA;"ожидается";" Уральские авиалинии";"U6 8021";"Гюмри";"Airbus A320";"43.8423102";"40.7852634";2
"53";"N4 188 Ростов-на-Дону — Москва (Шереметьево)Airbus А321";"2018-05-20 15:20:00";NA;"ожидается";" Nordwind Airlines";"N4 188";"Москва";"Airbus А321";"37.6176606";"55.7507178";134
"54";"A4 215 Ростов-на-Дону — КазаньСухой Суперджет 100";"2018-05-20 16:00:00";NA;"ожидается";" Азимут";"A4 215";"Казань";"Сухой Суперджет 100";"49.1242266";"55.7823547";3
"55";"DP 104 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-20 16:05:00";NA;"ожидается";" Победа";"DP 104";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"56";"S7 1156 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-20 16:10:00";NA;"ожидается";" S7 Airlines";"S7 1156";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"57";"SU 1157 Ростов-на-Дону — Москва (Шереметьево)Сухой Суперджет 100";"2018-05-20 16:20:00";NA;"ожидается";" Аэрофлот";"SU 1157";"Москва";"Сухой Суперджет 100";"37.6176606";"55.7507178";134
"58";"S7 3324 Ростов-на-Дону — НовосибирскAirbus А320";"2018-05-20 16:35:00";NA;"ожидается";" S7 Airlines";"S7 3324";"Новосибирск";"Airbus A320";"82.9234509";"55.0282171";3
"59";"HY 648 Ростов-на-Дону — ТашкентAirbus А320";"2018-05-20 16:40:00";NA;"ожидается";" Узбекистон Хаво Йуллари";"HY 648";"Ташкент";"Airbus A320";"55.406574";"56.313618";1
"60";"SU 6104 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-20 17:45:00";NA;"ожидается";" Россия";"SU 6104";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"61";"SU 1155 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-20 18:40:00";NA;"ожидается";" Аэрофлот";"SU 1155";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"62";"DP 522 Ростов-на-Дону — Санкт-ПетербургBoeing 737-800";"2018-05-20 19:20:00";NA;"ожидается";" Победа";"DP 522";"Санкт-Петербург";"Boeing 737-800";"30.316229";"59.938732";22
"63";"A4 223 Ростов-на-Дону — СочиСухой Суперджет 100";"2018-05-20 19:35:00";NA;"ожидается";" Азимут";"A4 223";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";5
"64";"SU 1161 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-20 20:05:00";NA;"ожидается";" Аэрофлот";"SU 1161";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"65";"UT 494 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-20 20:40:00";NA;"ожидается";" ЮТэйр";"UT 494";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"66";"S7 1152 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-20 20:50:00";NA;"ожидается";" S7 Airlines";"S7 1152";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
