"";"рейс";"расписание";"ожидаемое время";"статус";"Авиакомпания";"Номер рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"296";"U6 2832 Симферополь — Москва (Домодедово)Airbus А320";2018-05-28 13:15:00;" ";"ожидается";" Уральские авиалинии";"U6 2832";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"306";"SU 6838 Симферополь — Минеральные ВодыBoeing 737-800";2018-05-28 13:55:00;" ";"ожидается";" Россия";"SU 6838";"Минеральные Воды";"Boeing 737-800";"43.134969";"44.2107377";2
"316";"SU 6144 Симферополь — Москва (Внуково)Boeing 777-300ER";2018-05-28 14:10:00;" ";"ожидается";" Россия";"SU 6144";"Москва";"Boeing 777-300ER";"37.6176606";"55.7507178";205
"326";"5N 6302 Симферополь — Москва (Домодедово)Airbus А320";2018-05-28 14:25:00;" ";"ожидается";" Нордавиа";"5N 6302";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"336";"WZ 302 Симферополь — Москва (Домодедово)Airbus А320";2018-05-28 14:25:00;" ";"ожидается";" Red Wings";"WZ 302";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"346";"WZ 5570 Симферополь — Санкт-ПетербургBoeing 737-500";2018-05-28 14:50:00;" ";"ожидается";" Red Wings";"WZ 5570";"Санкт-Петербург";"Boeing 737-500";"30.316229";"59.938732";44
"356";"5N 570 Симферополь — Санкт-ПетербургBoeing 737-500";2018-05-28 14:50:00;" ";"ожидается";" Нордавиа";"5N 570";"Санкт-Петербург";"Boeing 737-500";"30.316229";"59.938732";44
"366";"N4 524 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-28 15:10:00;" ";"ожидается";" Nordwind Airlines";"N4 524";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"376";"SU 6832 Симферополь — Ростов-на-ДонуAirbus A319";2018-05-28 15:25:00;" ";"ожидается";" Россия";"SU 6832";"Ростов-на-Дону";"Airbus A319";"39.7022756";"47.2249135";8
"386";"SU 1623 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-28 15:35:00;" ";"ожидается";" Аэрофлот";"SU 1623";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"396";"SU 6884 Симферополь — Санкт-ПетербургAirbus A319";2018-05-28 15:55:00;" ";"ожидается";" Россия";"SU 6884";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"406";"U6 522 Симферополь — Москва (Домодедово)Airbus А320";2018-05-28 16:40:00;" ";"ожидается";" Уральские авиалинии";"U6 522";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"416";"R3 772 Симферополь — Нерюнгри (Внуково)Boeing 737-800";2018-05-28 16:50:00;" ";"ожидается";" Якутия";"R3 772";"Нерюнгри";"Boeing 737-800";"124.71228";"56.657967";1
"426";"S7 166 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-28 17:00:00;" ";"ожидается";" S7 Airlines";"S7 166";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"436";"SU 1629 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-28 17:10:00;" ";"ожидается";" Аэрофлот";"SU 1629";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"446";"SU 1625 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-28 18:45:00;" ";"ожидается";" Аэрофлот";"SU 1625";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"456";"SU 6844 Симферополь — ОренбургBoeing 737-800";2018-05-28 19:00:00;" ";"ожидается";" Россия";"SU 6844";"Оренбург";"Boeing 737-800";"55.097118";"51.767452";2
"466";"N4 134 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-28 19:45:00;" ";"ожидается";" Nordwind Airlines";"N4 134";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"476";"5N 6308 Симферополь — Москва (Домодедово)Airbus А321";2018-05-28 20:15:00;" ";"ожидается";" Нордавиа";"5N 6308";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"485";"WZ 308 Симферополь — Москва (Домодедово)Airbus А321";2018-05-28 20:15:00;" ";"ожидается";" Red Wings";"WZ 308";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"494";"U6 2842 Симферополь — Москва (Домодедово)Airbus А321";2018-05-28 20:35:00;" ";"ожидается";" Уральские авиалинии";"U6 2842";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"504";"SU 1659 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-28 21:00:00;" ";"ожидается";" Аэрофлот";"SU 1659";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"514";"S7 162 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-28 21:45:00;" ";"ожидается";" S7 Airlines";"S7 162";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"523";"SU 6896 Симферополь — Санкт-ПетербургBoeing 747-400";2018-05-28 22:15:00;" ";"ожидается";" Россия";"SU 6896";"Санкт-Петербург";"Boeing 747-400";"30.316229";"59.938732";44
"531";"S7 3330 Симферополь — НовосибирскBoeing 737-800";2018-05-28 23:25:00;" ";"ожидается";" S7 Airlines";"S7 3330";"Новосибирск";"Boeing 737-800";"82.9234509";"55.0282171";8
"541";"S7 266 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-28 23:55:00;" ";"ожидается";" S7 Airlines";"S7 266";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
