"";"рейс";"расписание";"ожидаемое время";"статус";"Авиакомпания";"Номер рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"154";"N4 124 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-26 09:20:00;" ";"ожидается";" Nordwind Airlines";"N4 124";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"164";"SU 2801 Симферополь — СочиСухой Суперджет 100";2018-05-26 09:30:00;" ";"ожидается";" Аэрофлот";"SU 2801";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";7
"174";"S7 268 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-26 09:35:00;" ";"ожидается";" S7 Airlines";"S7 268";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"184";"U6 526 Симферополь — Москва (Домодедово)Airbus А320";2018-05-26 09:40:00;" ";"ожидается";" Уральские авиалинии";"U6 526";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"194";"SU 1637 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-26 09:50:00;" ";"ожидается";" Аэрофлот";"SU 1637";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"204";"S7 270 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-26 10:05:00;" ";"ожидается";" S7 Airlines";"S7 270";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"214";"SU 6150 Симферополь — Москва (Внуково)Boeing 777-300";2018-05-26 10:15:00;" ";"ожидается";" Россия";"SU 6150";"Москва";"Boeing 777-300";"37.6176606";"55.7507178";205
"224";"YC 506 Симферополь — ТюменьAirbus А320";2018-05-26 10:45:00;" ";"ожидается";" Ямал";"YC 506";"Тюмень";"Airbus A320";"65.542274";"57.153534";2
"234";"SU 1645 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-26 10:50:00;" ";"ожидается";" Аэрофлот";"SU 1645";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"244";"SU 6892 Симферополь — Санкт-ПетербургAirbus A319";2018-05-26 11:20:00;" ";"ожидается";" Россия";"SU 6892";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"254";"SU 6838 Симферополь — Минеральные ВодыBoeing 737-800";2018-05-26 11:25:00;" ";"ожидается";" Россия";"SU 6838";"Минеральные Воды";"Boeing 737-800";"43.134969";"44.2107377";2
"264";"U6 440 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-26 12:05:00;" ";"ожидается";" Уральские авиалинии";"U6 440";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"274";"S7 164 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-26 12:20:00;" ";"ожидается";" S7 Airlines";"S7 164";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
